DEBUG 2017-11-11 15:12:04,970 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.Sessions.Dto.TenantLoginInfoDto
DEBUG 2017-11-11 15:12:04,970 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.Sessions.Dto.UserLoginInfoDto
DEBUG 2017-11-11 15:12:04,971 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.Roles.Dto.CreateRoleDto
DEBUG 2017-11-11 15:12:04,971 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.Roles.Dto.PermissionDto
DEBUG 2017-11-11 15:12:04,971 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.Roles.Dto.RoleDto
DEBUG 2017-11-11 15:12:04,972 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.MultiTenancy.Dto.CreateTenantDto
DEBUG 2017-11-11 15:12:04,972 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.MultiTenancy.Dto.TenantDto
DEBUG 2017-11-11 15:12:04,972 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.Article.Dto.ArticleEditDto
DEBUG 2017-11-11 15:12:04,972 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - KuMaDaoCoreAbp.Article.Dto.ArticleListDto
INFO  2017-11-11 15:12:09,981 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2017-11-11 15:12:10,119 [13   ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2017-11-11 15:12:16,846 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method KuMaDaoCoreAbp.Web.Host.Controllers.HomeController.Index (KuMaDaoCoreAbp.Web.Host) with arguments ((null)) - ModelState is Valid
INFO  2017-11-11 15:12:17,011 [15   ] Core.Mvc.Internal.RedirectResultExecutor - Executing RedirectResult, redirecting to /swagger.
INFO  2017-11-11 15:12:17,026 [15   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action KuMaDaoCoreAbp.Web.Host.Controllers.HomeController.Index (KuMaDaoCoreAbp.Web.Host) in 1621.3995ms
INFO  2017-11-11 15:12:17,054 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 7108.1985ms 302 
INFO  2017-11-11 15:12:17,085 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger  
INFO  2017-11-11 15:12:17,098 [15   ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2017-11-11 15:12:17,131 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 42.5139ms 301 
INFO  2017-11-11 15:12:17,148 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/  
INFO  2017-11-11 15:12:17,161 [6    ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2017-11-11 15:12:17,205 [6    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/index.html'. Physical path: 'N/A'
INFO  2017-11-11 15:12:17,660 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/jquery-1.8.0.min.js  
INFO  2017-11-11 15:12:17,672 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/typography.css  
INFO  2017-11-11 15:12:17,698 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/reset.css  
INFO  2017-11-11 15:12:17,703 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 73.1488ms 200 text/html
INFO  2017-11-11 15:12:17,716 [15   ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2017-11-11 15:12:17,722 [5    ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2017-11-11 15:12:17,727 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/object-assign-pollyfill.js  
INFO  2017-11-11 15:12:17,742 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/screen.css  
INFO  2017-11-11 15:12:17,747 [13   ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2017-11-11 15:12:17,836 [6    ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
